Unnamed: 0,Property ID,Locality data,Price,Property type,Number of bedrooms,Living area m²,Equipped kitchen,Furnished,Open fire,Terrace surface m²,Garden area m²,Swimming pool,Building condition,Price per m²,Region,Province
6264,20163881,1050,795000,apartment,3.0,231.0,0,0,1,26.0,,0,As new,3441.5584415584417,Brussels,Brussels
2661,20217696,9000,795000,house,3.0,173.0,1,0,1,,,0,Just renovated,4595.375722543353,Flanders,East Flanders
2248,20229446,8300,795000,house,2.0,119.0,0,0,1,,,0,Good,6680.672268907563,Flanders,West Flanders
1610,20076607,1200,795000,house,4.0,228.0,0,0,1,40.0,100.0,0,As new,3486.842105263158,Brussels,Brussels
9638,20055752,1160,795000,apartment,3.0,124.0,0,0,1,55.0,55.0,0,Good,6411.290322580645,Brussels,Brussels
6451,20213549,1180,795000,apartment,4.0,262.0,0,0,1,24.0,,0,As new,3034.351145038168,Brussels,Brussels
9901,20209474,1050,795000,apartment,2.0,130.0,0,0,1,12.0,,0,As new,6115.384615384615,Brussels,Brussels
6385,20230179,1000,795000,apartment,3.0,200.0,0,0,1,,,0,Just renovated,3975.0,Brussels,Brussels
10415,11374420,8300,795000,apartment,2.0,74.0,1,0,1,,,0,As new,10743.243243243243,Flanders,West Flanders
4,20245133,1200,795000,house,5.0,225.0,1,0,1,15.0,120.0,0,To renovate,3533.3333333333335,Brussels,Brussels
3575,11184064,1040,795000,house,5.0,320.0,0,0,1,20.0,80.0,0,To renovate,2484.375,Brussels,Brussels
6662,20196236,8300,795000,apartment,2.0,74.0,0,0,1,,,0,Good,10743.243243243243,Flanders,West Flanders
857,20219788,1020,795000,house,5.0,225.0,1,0,1,30.0,400.0,0,Good,3533.3333333333335,Brussels,Brussels
1484,20056295,1200,795000,house,4.0,197.0,0,0,1,28.0,50.0,0,Good,4035.532994923858,Brussels,Brussels
8012,20065615,8300,795000,apartment,3.0,71.0,0,1,1,,,0,Good,11197.18309859155,Flanders,West Flanders
2625,20231818,8300,795000,house,2.0,119.0,0,0,1,,,0,Good,6680.672268907563,Flanders,West Flanders
6197,20179826,1040,795000,apartment,3.0,188.0,0,0,1,16.0,,0,Good,4228.723404255319,Brussels,Brussels
1731,20207856,8300,795000,house,3.0,166.0,0,1,1,,,0,As new,4789.156626506024,Flanders,West Flanders
1732,20200741,8420,795000,house,3.0,177.0,0,0,1,,,0,Just renovated,4491.525423728814,Flanders,West Flanders
3061,20155276,1030,795000,house,5.0,270.0,0,0,1,,,0,Good,2944.4444444444443,Brussels,Brussels
2700,20082848,1200,795000,house,5.0,349.0,0,0,1,14.0,50.0,0,As new,2277.9369627507162,Brussels,Brussels
2271,11376602,1150,795000,house,4.0,205.0,0,0,1,20.0,150.0,0,Good,3878.048780487805,Brussels,Brussels
2283,20204877,8300,795000,house,3.0,166.0,0,0,1,,,0,As new,4789.156626506024,Flanders,West Flanders
7816,20204011,2018,795000,apartment,3.0,200.0,0,0,1,,,0,As new,3975.0,Flanders,Antwerp
3872,20127506,1340,795000,house,4.0,220.0,0,0,1,,,0,As new,3613.6363636363635,Wallonia,Walloon Brabant
1101,20244911,1150,795000,house,5.0,206.0,0,0,1,,,0,Good,3859.223300970874,Brussels,Brussels
7221,20191892,1000,795000,apartment,2.0,202.0,1,1,1,101.0,,0,As new,3935.6435643564355,Brussels,Brussels
